y-position
482
483
484
484
484
485
486
486
486
486
486
487
487
487
487
487
487
488
488
490
490
491
491
491
491
492
493
495
495
496
496
496
496
496
497
497
497
496
496
496
497
498
499
500
500
501
501
502
503
504
504
505
505
505
507
507
507
507
507
507
507
507
508
509
509
509
509
509
508
508
509
510
510
510
510
510
510
510
510
510
510
510
510
508
508
507
507
506
505
504
504
503
502
502
502
502
501
501
501
500
500
499
498
497
497
497
497
497
497
496
496
496
496
494
493
493
493
493
492
491
491
491
490
490
490
490
490
490
489
488
487
487
487
487
486
486
485
484
484
483
483
482
481
479
478
478
477
477
477
476
476
475
475
475
474
474
473
473
472
471
471
471
471
472
472
471
471
470
469
468
467
466
465
465
465
463
463
463
463
463
463
462
460
460
460
458
458
457
456
455
454
453
452
451
451
450
450
449
449
449
449
448
448
447
446
445
445
446
446
446
447
448
448
448
447
446
445
445
445
445
450
458
467
476
483
491
499
507
516
523
532
538
547
555
563
569
580
586
#NV
#NV
#NV
#NV
#NV
#NV
#NV
#NV
#NV
#NV
#NV
#NV
#NV
#NV
#NV
